start_ip,end_ip,join_key,name,domain,type,asn,as_name,as_domain,as_type,country,
12.111.41.232,12.111.41.239,12.111.0.0,LINWORTH UNITED METHODIST CHUR,linworthumc.org,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
119.93.9.122,119.93.9.122,119.93.0.0,SMETND2017091835909_EXPRESSLEAD LOGISTICS CORPORATION,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
124.107.179.5,124.107.179.6,124.107.0.0,IPG,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
12.231.133.80,12.231.133.87,12.231.0.0,DEPARTMENT OF STATEPETER BERG,gsa.gov,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
109.70.212.120,109.70.212.123,109.70.0.0,Ballyphehane Credit Union,bally.com,business,AS15502,Vodafone Ireland Limited,vodafone.ie,isp,IE,
107.209.31.32,107.209.31.71,107.209.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
122.52.125.188,122.52.125.188,122.52.0.0,SMEMDE2013022106688_MDEL INTERNET CAFE,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
103.230.104.0,103.230.107.255,103.230.0.0,Teletalk Bangladesh Ltd.,teletalk.com.bd,isp,AS45925,ASN For Teletalk Bangladesh Ltd.,teletalk.com.bd,isp,BD,
115.147.16.25,115.147.16.25,115.147.0.0,SMESPC2021082315807_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
103.53.148.0,103.53.151.255,103.53.0.0,MiIT Limited,miit.co.nz,hosting,AS134110,MiIT Limited,miit.co.nz,business,NZ,
12.232.93.72,12.232.93.79,12.232.0.0,PAPE KENWORTH,pakw.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
108.245.125.160,108.245.125.167,108.245.0.0,AT&T Corp.,att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.28.174.64,12.28.174.71,12.28.0.0,NITEL INC.-GENERAL TRUCK BODY,att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.184.24.40,12.184.24.47,12.184.0.0,CAVASTONE LLC,evergreentelecom.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
113.56.34.104,113.56.34.107,113.56.0.0,Post-Street-Zhongshan-cooperation-in-business-hall,chinaunicom.cn,isp,AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,isp,CN,
12.150.84.152,12.150.84.159,12.150.0.0,FLIGHT OPTIONS,flightoptions.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
109.111.205.184,109.111.205.184,109.111.0.0,M247 UK Ltd,m247.com,isp,AS42973,M247 UK Ltd,m24seven.com,isp,GB,
113.42.217.80,113.42.217.87,113.42.0.0,OTSUKA CORPORATION,otsuka-shokai.co.jp,business,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP,
122.227.78.52,122.227.78.55,122.227.0.0,CHINANET-ZJ Quzhou node network,hz.zj.cn,business,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn,isp,CN,
12.16.91.128,12.16.91.135,12.16.0.0,HEALTHMARK PARTNERS,healthmarkpartners.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
115.147.21.138,115.147.21.138,115.147.0.0,CBGCBO2021072956699_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
108.92.92.128,108.92.92.143,108.92.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
122.220.125.112,122.220.125.191,122.220.0.0,UCOM Corporation,ucom.ne.jp,isp,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP,
122.227.230.240,122.227.230.243,122.227.0.0,"Beijing Youbei Online Network Technology Co., Ltd.",51vv.com,business,AS136188,"NINGBO, ZHEJIANG Province, P.R.China.",chinatelecom.cn,isp,CN,
108.92.139.120,108.92.139.127,108.92.0.0,PREMIUM SPECIALTIES-110819053513,premiumspecialties.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.131.227.200,12.131.227.207,12.131.0.0,VENTURENET,venturenet.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.106.155.128,12.106.155.151,12.106.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
124.107.144.67,124.107.144.67,124.107.0.0,IPG,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
122.213.76.8,122.213.76.31,122.213.0.0,broadgate,broadgateinc.com,business,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP,
12.197.171.24,12.197.171.31,12.197.0.0,"BEST BUY CO, INC.",bestbuy.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
124.104.103.194,124.104.103.194,124.104.0.0,18-3311932_PLDT-SOUTH LUZON BUSINESS DISTRICT,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
12.30.142.224,12.30.142.255,12.30.0.0,LIVING WORD CHRISTIAN CENTER,livingwd.org,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
108.175.96.0,108.175.111.255,108.175.0.0,MasterBase LLC,masterbase.com,business,AS174,Cogent Communications,cogentcomm.biz,isp,US,
113.37.112.0,113.37.112.31,113.37.0.0,ARTERIA Networks Corporation,arteria-net.com,isp,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP,
12.166.65.24,12.166.65.39,12.166.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
112.64.187.208,112.64.187.219,112.64.0.0,Shanghai DIA Dedicated Internet Access,chinaunicom.cn,isp,AS17621,China Unicom Shanghai network,chinaunicom.cn,isp,CN,
122.225.238.8,122.225.238.11,122.225.0.0,Yinuopa dedicated processing equipment ( Jiaxing) Limited Company,hz.zj.cn,business,AS4809,China Telecom Next Generation Carrier Network,chinatelecom.com.cn,isp,CN,
124.105.121.70,124.105.121.70,124.105.0.0,IPG,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
12.10.13.136,12.10.13.143,12.10.0.0,CITY OF GLENDALE,glendale.ca.us,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.70.103.64,12.70.103.71,12.70.0.0,CONVERGIA-VELOCITY ELECTRONIC,convergia.io,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
119.93.199.208,119.93.199.208,119.93.0.0,CBGCYN2021042345008_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
119.93.141.106,119.93.141.106,119.93.0.0,SMEDVO2013090942907_INFINITY STILL AND MOTION STUDIO,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
108.250.244.248,108.250.245.7,108.250.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.226.108.144,12.226.108.151,12.226.0.0,HAMPTON INN DAYFN,realcomsolutions.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
124.105.207.151,124.105.207.151,124.105.0.0,CBGCLA2021101451519_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
12.226.204.0,12.226.204.7,12.226.0.0,BAYSHORE SUPPLY,bayshoresupply.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
107.138.14.24,107.138.14.71,107.138.0.0,Private Customer - AT&T Internet Services,ads-internet.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
122.209.39.224,122.209.39.255,122.209.0.0,broadgate,broadgateinc.com,business,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP,
124.107.122.52,124.107.122.52,124.107.0.0,SMEJAN2020120160330_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
103.82.72.0,103.82.75.255,103.82.0.0,Zara Infotech,,business,AS141326,Zara Infotech,,business,IN,
115.146.215.88,115.146.215.103,115.146.0.0,Philippine Long Distance Telephone Co.,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
108.61.78.176,108.61.78.183,108.61.0.0,GameServers.com,gameservers.com,business,AS20473,"The Constant Company, LLC",constant.com,hosting,US,
116.113.210.88,116.113.210.95,116.113.0.0,InnerMengoliaBaotouBaotouribaoshe,hh.nm.cn,business,AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,isp,CN,
124.106.235.39,124.106.235.39,124.106.0.0,SMEJNE2020121593064_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
12.188.248.168,12.188.248.175,12.188.0.0,CHARTER COMMUNICATIONS,spectrum.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.44.152.88,12.44.152.95,12.44.0.0,AUSTIN BRIDGE AND ROAD,austin-ind.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
122.224.56.68,122.224.56.71,122.224.0.0,ShaoXing XianHenJiTuan,hz.zj.cn,business,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn,isp,CN,
122.53.69.25,122.53.69.25,122.53.0.0,SMEDSL2019042870382_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
122.3.147.5,122.3.147.5,122.3.0.0,CBGSXL2021102052857_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
118.174.149.152,118.174.149.155,118.174.0.0,"Khokyai-SAO,Mukdahan Province",ntplc.co.th,business,AS131293,TOT Public Company Limited,tot.co.th,isp,TH,
119.93.199.191,119.93.199.191,119.93.0.0,SMEILO2021111550527_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
104.4.73.40,104.4.73.55,104.4.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
123.124.215.160,123.124.215.175,123.124.0.0,RBNTX-CO,cnc-noc.net,business,AS4808,China Unicom Beijing Province Network,chinaunicom.cn,isp,CN,
12.200.119.240,12.200.119.247,12.200.0.0,CELLULAR SALES,verizon.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
108.199.31.48,108.199.31.55,108.199.0.0,AT&T Corp.,att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
108.166.51.248,108.166.51.255,108.166.0.0,Cantaloupe Systems,cantaloupe.com,business,AS19994,Rackspace Hosting,rackspace.com,hosting,US,
115.146.165.144,115.146.165.151,115.146.0.0,1-1BKV2R8_ENTERPRISE Client,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
122.52.154.24,122.52.154.31,122.52.0.0,32-5056982_LIZA MICROTECH INTERNET SERVICES,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
108.85.182.80,108.85.182.87,108.85.0.0,ONE STOP COMMUNICATIONS-110525125013,onestop.bz,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
119.93.230.80,119.93.230.87,119.93.0.0,"CBGMKT2014050776547_VIRTELA TECHNOLOGY SERVICES, INCORPORATED",pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
12.222.146.232,12.222.146.239,12.222.0.0,HENRY SCHEIN ONE LLC DBAL,internetbrands.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
124.105.181.241,124.105.181.241,124.105.0.0,CBGTND2022033127180_ENTERPRISE Client,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
107.6.129.244,107.6.129.247,107.6.0.0,INFRANETWORKING,infranetworking.com,business,AS32475,SingleHop LLC,singlehop.com,hosting,UY,
12.203.29.48,12.203.29.55,12.203.0.0,U.S. TELEPACIFIC CORP.,tpx.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
119.93.149.4,119.93.149.4,119.93.0.0,SMEGSC2017101949012_D AND V CYBER CAFE,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
12.197.134.96,12.197.134.127,12.197.0.0,"CHC GOSNELL HEALTH AND REHAB,",angellbusiness.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
122.3.240.224,122.3.240.227,122.3.0.0,1-14M3N2S_GEBOUW INC.,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
12.191.128.200,12.191.128.207,12.191.0.0,AMAZON.COM,amazon.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.221.143.56,12.221.143.63,12.221.0.0,"ATTSI, INFO TECHNOLOGYN OPERA",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
101.231.158.0,101.231.158.103,101.231.0.0,CHINANET SHANGHAI PROVINCE NETWORK,chinatelecom.cn,isp,AS4812,China Telecom (Group),chinatelecom.com.cn,isp,CN,
12.178.132.240,12.178.132.255,12.178.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.209.18.80,12.209.18.87,12.209.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
107.134.27.240,107.134.27.247,107.134.0.0,Private Customer - AT&T Internet Services,ads-internet.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.138.142.8,12.138.142.15,12.138.0.0,SYNOVUS FINANCIAL CORPATT. ER,synovus.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.219.181.128,12.219.181.143,12.219.0.0,FIRST CATHOLIC SLOVAK LADIES A,fcsla.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
108.241.35.72,108.241.35.79,108.241.0.0,AT&T Corp.,att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
122.52.11.186,122.52.11.186,122.52.0.0,SMECLA2022042929121_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
12.185.52.64,12.185.52.71,12.185.0.0,WG MANUFACTURING,wgmfg.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.23.195.216,12.23.195.223,12.23.0.0,DERECKTOR OF FLORIDA INC,derecktor.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
118.152.235.240,118.152.235.247,118.152.0.0,National Police Agency,npta.gov.tw,business,AS2516,KDDI CORPORATION,kddi.com,isp,JP,
122.225.77.212,122.225.77.215,122.225.0.0,Zhejiang Dongxing Shangsha Gufen Limited Company,hz.zj.cn,business,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn,isp,CN,
12.172.224.96,12.172.224.111,12.172.0.0,INTERCONTINENTAL HOTELS GROUP.,ihg.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
108.222.151.64,108.222.151.71,108.222.0.0,AT&T Corp.,att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
119.92.231.76,119.92.231.76,119.92.0.0,SMEBCD2021042333791_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
122.214.224.104,122.214.224.111,122.214.0.0,ARTERIA Networks Corporation,arteria-net.com,isp,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP,
122.139.0.8,122.139.0.15,122.139.0.0,"NO.529 RENMIN STREET,CHANGCHUN CITY,JILIN PROVINCE,CHINA",chinaunicom.cn,isp,AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,isp,CN,
12.21.91.32,12.21.91.39,12.21.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
121.28.181.40,121.28.181.47,121.28.0.0,"Com,ShiJiaZhuang City,HeBei Province",chinaunicom.cn,isp,AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,isp,CN,
104.15.225.0,104.15.225.15,104.15.0.0,AT&T Corp.,att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.234.156.208,12.234.156.215,12.234.0.0,"SPECIALTY COOLING, INC",specialtycooling.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
112.65.172.76,112.65.172.79,112.65.0.0,tailinmaoyi,chinaunicom.cn,isp,AS17621,China Unicom Shanghai network,chinaunicom.cn,isp,CN,
108.58.127.88,108.58.127.95,108.58.0.0,Static IP Services,cv.net,business,AS6128,Cablevision Systems Corp.,cablevision.com,isp,US,
115.178.128.0,115.178.128.255,115.178.0.0,PT. Core Mediatech (D-NET),dnet.net.id,isp,AS9794,PT. Core Mediatech (D-NET),dnet.net.id,isp,ID,
122.52.49.219,122.52.49.219,122.52.0.0,RBGSCB2017071307754_NORTH ATLANTIC INDUSTRIAL PROPERTIES CORP,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
108.248.90.208,108.248.90.215,108.248.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.110.175.56,12.110.175.63,12.110.0.0,COMMERCIAL FLOORING,commercialflooringco.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
117.251.224.0,117.251.239.255,117.251.0.0,"BSNL GSM South Zone, O/o DE (VAS) Ivth floor, Haddows Road Telecom Bldg., Haddows Road, Chennai-600006",bsnl.co.in,isp,AS9829,National Internet Backbone,bsnl.co.in,isp,IN,
12.215.224.96,12.215.224.111,12.215.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.34.255.32,12.34.255.47,12.34.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
108.201.238.200,108.201.238.207,108.201.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
119.81.119.64,119.81.119.71,119.81.0.0,Cheetah Mobile,cmcm.com,isp,AS36351,SoftLayer Technologies Inc.,softlayer.com,isp,CN,
124.106.65.22,124.106.65.22,124.106.0.0,18-4050990_HILDA CALLUENG DE LEON,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
122.226.176.208,122.226.176.211,122.226.0.0,The bridge construction Company,hz.zj.cn,business,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn,isp,CN,
12.68.245.240,12.68.245.247,12.68.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.70.162.72,12.70.162.79,12.70.0.0,LOCKHEED MARTIN AVPN,lockheedmartin.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
108.170.14.184,108.170.14.191,108.170.0.0,Silicon House,siliconhouse.net,business,AS20454,SECURED SERVERS LLC,securedservers.com,hosting,IN,
124.105.87.224,124.105.87.224,124.105.0.0,SMENCB2020011619849_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
124.106.67.121,124.106.67.122,124.106.0.0,IPG,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
124.105.89.194,124.105.89.194,124.105.0.0,CBGNOV2020011746800_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
12.15.48.72,12.15.48.79,12.15.0.0,METTEL-CALIBER COLLISION,att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US,
122.52.115.109,122.52.115.109,122.52.0.0,CBGMRD2021120728166_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH,
12.182.10.32,12.182.10.39,12.182.0.0,LOWES COMPANIES INC,lowes.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
12.161.14.64,12.161.14.71,12.161.0.0,ROSE PACKING CO,rosepacking.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US,
